arxiv_id,published_utc,updated_utc,title,authors,primary_category,categories,abstract,pdf_url,entry_url
2605.20688v1,2026-05-20T04:34:22+00:00,2026-05-20T04:34:22+00:00,Fusion of Integrable Defects and the Defect $g$-Function,Yang He; Yunfeng Jiang; Yuxiao Liu,hep-th,hep-th,"We study exact defect $g$-functions for integrable line defects in two-dimensional integrable quantum field theory and use them to probe defect fusion. We consider three settings: fusion of purely transmitting topological defects, fusion of non-topological defects with reflection and transmission, and fusion of a defect with an integrable boundary. For topological defects, the separated logarithmic $g$-function is additive, and the fusion limit is controlled by the multiplicative composition of transmission factors. For non-topological defects, separation-dependent phases in the Bethe-Yang equations produce oscillatory finite-size effects, while the fused defect is described by effective reflection and transmission amplitudes. In the Ising examples studied here, fusion involving non-topological defects lowers the finite localized contribution to the entropy, whereas topological defect-boundary fusion leaves it unchanged.",https://arxiv.org/pdf/2605.20688v1,http://arxiv.org/abs/2605.20688v1
2605.20661v1,2026-05-20T03:27:00+00:00,2026-05-20T03:27:00+00:00,Entangling Power: A Probe of Symmetry and Integrability in Quantum Many-Body Systems,Ian Low; Pallab Goswami,quant-ph,quant-ph; cond-mat.str-el; hep-ph; hep-th; nucl-th,"The entangling power of a unitary operator quantifies its ability to generate entanglement from product states and provides a natural probe of quantum many-body dynamics. Entanglement extremization at points of enhanced symmetry has previously been observed in high-energy scattering. In this work we compute the time-averaged entangling power of anisotropic Heisenberg spin chains across two-site models and finite-size systems, as well as the entangling power of the two-magnon $S$-matrix in the thermodynamic limit. For two-site models we establish a monotonic hierarchy: the entangling power decreases as the symmetry group grows, reaching its minimum at the $SU(2)$ XXX point. Finite-size XXZ chains exhibit sharp dips at the $SU(2)$ points $Δ=\pm 1$ and the free-fermion point $Δ=0$, with the free-fermion dip decaying much more slowly with system size. In the thermodynamic limit, we decompose the two-magnon $S$-matrix into quantum logic gates -- Identity, SWAP, and $σ_z\otimesσ_z$ -- and show that the entangling power vanishes for all scattering energies at the $SU(2)$ points, where the $S$-matrix reduces to the Identity gate, while the free-fermion point achieves the maximum -- the opposite of the finite-size many-body behavior. The entangling power can serve as an {\em operator} diagnostic for symmetry and selected aspects of integrability in quantum simulations of spin-chain dynamics.",https://arxiv.org/pdf/2605.20661v1,http://arxiv.org/abs/2605.20661v1
2605.21477v1,2026-05-20T17:57:36+00:00,2026-05-20T17:57:36+00:00,Opening the Window of Ultra-Light PBHs by Exorcising the Poltergeist,Yann Gouttenoire; Nicholas Leister; Pedro Schwaller,hep-ph,hep-ph; astro-ph.CO; gr-qc,"The hot Big Bang may have emerged from evaporation of primordial black holes (PBHs) lighter than $10^9$g. Standard monochromatic treatments predict nearly simultaneous evaporation, abrupt reheating, and a large Poltergeist scalar-induced gravitational wave signal. We confront this expectation with the irreducible collapse mass tail predicted by general relativity, $df_{\rm PBH}/d\ln M\propto M^{3.78}$, which smooths reheating, suppresses the signal by orders of magnitude, and reopens the ultra-light PBH window.",https://arxiv.org/pdf/2605.21477v1,http://arxiv.org/abs/2605.21477v1
2605.21474v1,2026-05-20T17:55:24+00:00,2026-05-20T17:55:24+00:00,Gravitational Waves from Black Hole Reheating: The Scalar-Induced Component,Yann Gouttenoire; Nicholas Leister; Pedro Schwaller,hep-ph,hep-ph; astro-ph.CO; gr-qc,"The reheating of the universe by the evaporation of light primordial black holes (PBHs) can leave a stochastic gravitational-wave (GW) background in the early Universe. In the monochromatic limit, their simultaneous evaporation produces an abrupt matter-to-radiation transition, triggering the so-called Poltergeist GW signal, usually predicted to be dominant and observable. We revisit this result by including the irreducible mass spread implied by gravitational collapse in General Relativity, whose infrared tail scales as $d f_{\rm PBH}/d\ln M_{\rm PBH}\propto M_{\rm PBH}^{3.78}$. We show that this minimal width smooths reheating enough to suppress the Poltergeist background by orders of magnitude, down to the level of the scalar-induced GW signal produced during a generic early matter era, such as one driven by the decay of a heavy relic. We provide a complete decomposition of the scalar-induced spectrum into eight production channels and find that none, except the one from PBH formation, reaches either the $ΔN_{\rm eff}$ bound or the projected sensitivity of future GW observatories. This reopens regions of ultra-light PBH parameter space previously thought to be excluded by these constraints.",https://arxiv.org/pdf/2605.21474v1,http://arxiv.org/abs/2605.21474v1
2605.21452v1,2026-05-20T17:43:14+00:00,2026-05-20T17:43:14+00:00,Sensitivity of the FCC-ee to axion-like particles at different center-of-mass energies,Juliette Alimena; Elnura Bakhishova; Freya Blekman; Jannah Darwish Abdelhafiz; Christina Dorofeev; Jeremi Niedziela; Giacomo Polesello; Anna Przybyl; Lovisa Rygaard,hep-ph,hep-ph; hep-ex,"The sensitivity of the proposed FCC-ee collider to axion-like particles (ALPs) is investigated at all planned center-of-mass energies, with focus on the case where the ALP couples primarily to electroweak gauge bosons at leading order. We study the associated production of the ALP with a photon, with the ALP decaying in turn to two photons, yielding a three-photon final state. The ALP coupling to the photon is evaluated for ALP masses of 5 to 320 GeV. In this effective model, the FCC-ee will be able to detect ALPs for couplings down to a few $10^{-6} \mathrm{GeV}^{-1}$ ($10^{-5} \mathrm{GeV}^{-1}$) during the Z pole run (WW, ZH, and $t\bar{t}$ threshold runs). Additionally, this final state has the potential to probe the underlying electroweak structure of ALP couplings for ALP masses below the $Z$-boson mass.",https://arxiv.org/pdf/2605.21452v1,http://arxiv.org/abs/2605.21452v1
2605.21315v1,2026-05-20T15:45:28+00:00,2026-05-20T15:45:28+00:00,Statistical sensitivity of neutrinoless double-beta decay exchange mechanism discrimination by tracking experiments,Jason Detwiler; Ke Han; Tao Li,hep-ph,hep-ph; hep-ex,"Reconstruction of the individual energies and the opening angle between the electrons emitted in neutrinoless double-beta decay can probe the nature of the beyond-the-Standard-Model exchange mechanism that underlies the process. Although it is often stated that discrimination of the mechanism would require such measurements to be performed with high statistics, we show that this is not the case. If a single mechanism dominates the process, its discrimination at the 1$σ$ level is already achieved with just a few well-reconstructed events; only $\sim$10 such events are required to reach 3$σ$-level discovery sensitivity. In the presence of realistic reconstruction uncertainties, this requirement increases to $\sim$25 events, indicating that substantial discrimination power is retained as long as backgrounds remain small. We conclude that the pursuit of tracking detectors for exchange-mechanism discrimination remains valuable even for ``discovery-class'' experiments in which only a few signal counts are expected.",https://arxiv.org/pdf/2605.21315v1,http://arxiv.org/abs/2605.21315v1
2605.21314v1,2026-05-20T15:43:01+00:00,2026-05-20T15:43:01+00:00,$B_c \to η_c$ form factors at large recoil: SCET analysis and a three-loop consistency check,Guido Bell; Philipp Böer; Thorsten Feldmann; Dennis Horstmann; Vladyslav Shtabovenko,hep-ph,hep-ph,"The double-logarithmic series of non-relativistic $B_c \to η_c$ form factors at large recoil is governed by a coupled set of integral equations, reflecting an intricate interplay between arbitrarily many soft-quark and soft-gluon exchanges. Whereas we previously derived these integral equations with diagrammatic resummation techniques, we analyze the form factors in the limit $m_b \gg m_c \gg Λ_{\rm QCD}$ with methods from Soft-Collinear Effective Theory (SCET) in this work. Although the resulting factorization theorem for the so-called soft-overlap contribution is known to be spoilt by endpoint divergences, it can still be used at the level of bare (regularized) quantities at any fixed order in perturbation theory. By calculating the required ingredients, we show that the SCET analysis confirms the predictions of the integral equations up to three-loop order. We also argue that the iterative structure and the intertwined soft-quark and soft-gluon effects can be derived from standard renormalization-group equations of the $B_c$-meson light-cone distribution amplitudes, provided their inverse moments are regularized with an appropriate cutoff.",https://arxiv.org/pdf/2605.21314v1,http://arxiv.org/abs/2605.21314v1
2605.21310v1,2026-05-20T15:37:58+00:00,2026-05-20T15:37:58+00:00,Contrastive self-supervised convolutional autoencoder for core-collapse supernova gravitational-wave detection,Tian-Yang Sun; Yue Niu; Chun-Yan Jiang; Shang-Jie Jin; Yong Yuan; Xin Zhang,gr-qc,gr-qc; astro-ph.CO; astro-ph.IM; hep-ph,"Gravitational-wave astronomy has opened a direct observational window onto compact-object dynamics, strong-field gravity, and cosmology. Among the transient sources accessible through this window, core-collapse supernovae (CCSNe) are uniquely valuable because their signals can probe the engine of stellar collapse, proto-neutron-star dynamics, and explosion asymmetries, yet their weak, stochastic, and model-dependent waveforms remain difficult to detect. In this work, we develop a contrastive self-supervised convolutional autoencoder (CS-CAE) for CCSNe gravitational-wave signal detection. The method combines a convolutional autoencoder (CAE), a noise-centered latent regularizer, and a projection head trained with a contrastive objective. This design encourages independent noisy realizations of the same CCSNe signal to be mapped to nearby latent representations, thereby reducing the influence of random noise fluctuations. CS-CAE achieves performance comparable to a supervised convolutional neural network while clearly outperforming a conventional CAE baseline, and generalizes better to unseen numerical CCSNe waveform families. Under the Einstein Telescope (ET) detector configuration, the method achieves an effective sensitive distance of approximately 120 kpc and shows improved separation of CCSNe signals from stationary noise and transient glitches in the low-false-alarm regime. These results highlight the potential of CS-CAE as a robust and less template-dependent framework for CCSNe gravitational-wave searches.",https://arxiv.org/pdf/2605.21310v1,http://arxiv.org/abs/2605.21310v1
2605.21291v1,2026-05-20T15:24:43+00:00,2026-05-20T15:24:43+00:00,Impact of Hadronic Resonances on $B\to K^{(*)}τ^+τ^-$ decays,Guillermo Baltà; Andreas Crivellin; Rafel Escribano; Joaquim Matias; Martín Novoa-Brunet,hep-ph,hep-ph; hep-ex; hep-lat,"Neutral-current semileptonic $B$ decays are plagued by hadronic resonances across the dilepton invariant-mass squared spectrum, $q^2$. For light leptons, $\ell=e,μ$, these resonances can be avoided with suitable $q^2$ cuts. This strategy is less straightforward for $τ$ modes, where missing energy from the $τ$ decay makes $q^2$ difficult to reconstruct. In fact, while Belle II is able to discriminate between different regions in $q^2$ due to its clean environment, this is not directly possible in a hadronic one. Therefore, the interpretation of $b\to sτ^+τ^-$ measurements from e.g. LHCb, CMS requires the description of these resonant effects. In this article, we adopt a different strategy by including the resonant contributions (in particular from $ψ(2S)$) into our predictions for $B\to K^{(*)}τ^+τ^-$ decays, instead of avoiding them. We provide predictions for different initial kinematic points ($4m_τ^2, 14.18\,$GeV$^2$ and $15\,$GeV$^2$) that can be convenient for LHCb, CMS and Belle II. For this, we use a data-driven approach based on the LHCb measurements of $B\to K^{(*)}μ^+μ^-$ decays. Including the resonances and integrating over the full $q^2$ range substantially enhances the Standard Model predictions. However, for sufficiently large New Physics, motivated by the current tensions in $R(D^{(*)})$ and $B\to K^{(*)}νν$ decays, the short-distance contribution becomes comparable to or even exceeds the resonant one. This highlights two advantages of this strategy: it exploits the additional phase space associated with the resonant regions to probe large New Physics contributions, and it enables the use of hadron-collider data, where the resonances cannot be resolved. We further quantify how including or neglecting the resonances affects the total branching ratio as a function of New Physics contributions and, equivalently, of the experimental precision.",https://arxiv.org/pdf/2605.21291v1,http://arxiv.org/abs/2605.21291v1
2605.21281v1,2026-05-20T15:12:21+00:00,2026-05-20T15:12:21+00:00,Self-Consistent Parker Bound on Magnetic Monopoles,Chen Zhang; Chun-Yan Jiang; Nayun Jia; Xin Zhang,hep-ph,hep-ph; astro-ph.CO; astro-ph.GA; gr-qc,"Magnetic monopoles arise generically in unified theories and offer a natural explanation of charge quantization. Beyond collider searches and cosmic-ray experiments, their flux is constrained by Parker-type bounds requiring galactic magnetic fields to survive monopole energy extraction. We formulate a self-consistent Parker bound anchored in the lowest eigenmode of the galactic mean-field dynamo and convert the resulting limit to the present flux. Small-scale turbulent fields both seed this eigenmode and set the monopole velocity via stochastic acceleration before energy extraction from the coherent field. These unavoidable effects substantially modify the standard extended Parker bound at low and intermediate masses, yielding flux limits robust to primordial magnetic fields (PMFs); PMFs strong enough to alter them lie in regimes constrained by Ly$α$ data or testable by 21-cm and cosmological probes.",https://arxiv.org/pdf/2605.21281v1,http://arxiv.org/abs/2605.21281v1
2605.21205v1,2026-05-20T14:03:28+00:00,2026-05-20T14:03:28+00:00,Comprehensive study of hidden charm pentaquarks with an improved unitarization method,E. E. Garcia-Gonzales; V. K. Magas; A. Ramos,hep-ph,hep-ph,"This work investigates dynamically generated hidden-charm baryon resonances arising from meson-baryon interactions. Using the local hidden gauge formalism, we model the interaction via t-channel vector meson exchange and unitarize the amplitude using the Bethe-Salpeter equation. To address regularization issues, we propose a novel ``hybrid loop function'' scheme that eliminates the unphysical poles -- common artifacts in cutoff or dimensional regularization -- while keeping the predictions of physical states. Consequently, the model successfully reproduces six experimentally known hidden-charm pentaquarks as well as earlier theoretical results, and predicts new states in the S=-1, I=1 sector.",https://arxiv.org/pdf/2605.21205v1,http://arxiv.org/abs/2605.21205v1
2605.21148v1,2026-05-20T13:21:54+00:00,2026-05-20T13:21:54+00:00,Photon-initiated enhancements in the pair production of highly charged coloured particles,Tanumoy Mandal; Subhadip Mitra; Rachit Sharma,hep-ph,hep-ph; hep-ex,"Strong interaction is typically assumed to dominate the pair production of heavy coloured resonances at the LHC. However, mixed QCD-QED contributions from gluon-photon ($gγ$) initial states become critical for highly charged states. This contribution scales with the square of their electric charges and maximises for particles in the fundamental colour representation. We study this effect for leptoquarks, which are colour-triplet bosons. We demonstrate that tree-level mixed QCD-QED contributions enhance their pair-production rates by up to $\sim 33\%$ for a charge-$5/3$ state, rivalling the size of next-to-leading-order QCD corrections. The asymmetric colour flow of $gγ$ fusion affects the radiation pattern, altering jet multiplicities and angular distributions. By recasting the latest ATLAS $μμjj$ search data, we find that these often-overlooked QED effects systematically strengthen mass exclusion limits, establishing a necessary precision standard for bounding highly charged coloured states.",https://arxiv.org/pdf/2605.21148v1,http://arxiv.org/abs/2605.21148v1
2605.21120v1,2026-05-20T12:50:45+00:00,2026-05-20T12:50:45+00:00,Spectroscopy of hidden-heavy tetraquark states with $J^{PC}=0^{--}$ in a color-octet configuration,Bing-Dong Wan; Jun-Hao Zhang; Yan Zhang; Ming-Yang Yuan,hep-ph,hep-ph,"Within the framework of QCD sum rules, we investigate hidden-heavy tetraquark states with the exotic quantum number $J^{PC}=0^{--}$ in color-octet configurations, namely $[Q\bar q]_{8_c}\otimes[q\bar Q]_{8_c}$ and $[Q\bar Q]_{8_c}\otimes[\bar q q]_{8_c}$ with $Q=c,b$. Since the $0^{--}$ quantum number cannot be realized by conventional $q\bar q$ mesons, the observation of such a state would provide a particularly clean signal for exotic hadronic structures. We construct four color-octet interpolating currents for the hidden-heavy systems and carry out the operator product expansion up to dimension-eight condensates. Our numerical analysis indicates that the hidden-bottom sector exhibits the clearest sum-rule stability, with flatter Borel platforms than the corresponding hidden-charm sector. We obtain four $0^{--}$ hidden-bottom tetraquark candidates in the mass range $10.8$--$11.1~\mathrm{GeV}$, while their hidden-charm partners are predicted around $4.3$--$4.6~\mathrm{GeV}$. The extracted masses suggest a compact spectral pattern with a mild dependence on the underlying color-octet clustering structure. We also discuss possible decay patterns and emphasize that the absence of the lowest pseudoscalar--pseudoscalar heavy-meson channels is a distinctive consequence of the exotic $0^{--}$ assignment. These results provide useful theoretical guidance for future searches for hidden-heavy exotic states at Belle II and LHCb, with complementary probes of the hidden-charm partners at BESIII.",https://arxiv.org/pdf/2605.21120v1,http://arxiv.org/abs/2605.21120v1
2605.21092v1,2026-05-20T12:24:00+00:00,2026-05-20T12:24:00+00:00,Audible Axion Magnetogenesis: Linking Intergalactic Magnetic Fields and Gravitational Waves,Christopher Gerlach; Daniel Schmitt; Pedro Schwaller,hep-ph,hep-ph; astro-ph.CO; astro-ph.HE,"Identifying dark matter candidates that simultaneously generate multiple observable cosmological signatures is a key goal in connecting particle physics with upcoming observations. Axion-like particles coupled to the Standard Model photon offer a promising framework. In the trapped misalignment mechanism, the onset of axion oscillations is delayed, inducing a period of supercooling in the early Universe. This can lead to exponential production of photon quanta via a tachyonic instability, generating observable gravitational wave signatures. Simultaneously, reheating of the Standard Model plasma produces strong, helical magnetic fields on intergalactic scales. The parameter space most promising for gravitational wave detection yields magnetic field strengths that exceed lower bounds from blazar observations.",https://arxiv.org/pdf/2605.21092v1,http://arxiv.org/abs/2605.21092v1
2605.21065v1,2026-05-20T11:52:42+00:00,2026-05-20T11:52:42+00:00,The Single Photon Signature of a Light Long-lived Neutralino at Remote Detectors at the LHC,Herbi K. Dreiner; Julian Günther; Dominik Köhler; Apoorva Shah,hep-ph,hep-ph; hep-ex,"We investigate the phenomenology of light long-lived neutralinos in R-parity violating supersymmetric models, focusing on the proposed remote detectors $\texttt{ANUBIS}$, $\texttt{CODEX-b}$, $\texttt{FACET}$, $\texttt{FASER}$, $\texttt{FASER2}$, $\texttt{MAPP}$, $\texttt{MAPP2}$, and $\texttt{MATHUSLA}$ at the LHC. We assume the production of the neutralinos at the ATLAS or CMS interaction points via rare scalar meson decays induced by R-parity violating couplings. We study six supersymmetric R-parity violating benchmark scenarios in which the dominant neutralino decay is $\tildeχ^0_1 \rightarrow γ+ ν$. For each scenario, we determine the projected search sensitivity at the above listed detectors. Extending previous work focused primarily on $\texttt{FASER}$ and $\texttt{FASER2}$, we improve the simulation by taking into account the extended flight path of the parent meson. We find that $\texttt{ANUBIS}$ provides the best sensitivity to our benchmark scenarios and $\texttt{FASER}$ the least among the considered experiments, while of course $\texttt{FASER}$ has already taken data.",https://arxiv.org/pdf/2605.21065v1,http://arxiv.org/abs/2605.21065v1
